Nom,specifities...,Les questions seront du type:,What is the airplane / helicoptere ...,eg: Quel est l'avion le plus petit ?,eg: Quel est l'avion fabriqué au canada ?
,,,,,
,,,,,
A220,the smaller,made in the canada,,,
A320,existing in 3 size,sold more than 10000 unités,assembly in Hamburg,,
A321-XLR,with the longer range,the most recent,,,
A330,le plus long courrier,made of aluminium,able to carry more than 300persons,assembly only in toulouse,
A330-743L,,,,,
A330-MRTT,capable de ravitailler d'autres avions,hopital volant et transport de personnes,,,
A350,en carbone (composite),"le plus grand, fabriqué actuellement",qui a le meilleur fuel efficiency par passager,,
A380,le plus gros jamais fabriqué,fabriqué à 254 exemplaires,parmi ceux proposé qui a 4 réacteurs.,,
a400M,avion de transport militaire,assemblé a seville,,,
,,,,,
,,,,,
Eurofighter,qui est un chasseur,"fabriqué en angleterre, en espagne et en allemagne",qui a des ailes deltas,,
,,,,,
H145,de secours le plus utilisé au monde,,,,
H160,dernier né de chez airbus,,,,
H225,le plus gros,utilisé pour transporter du pétrole et du gaz,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
A340,ne pas le mettre (4 reacteurs aussi),,,,